ISO	Country	Year	GPI	offrel	formrelat	GNI	dogint	groupvalue	GPIlog	offrellog	dogintlog	GNIlog
"TUN"	"Tunisia"	2012.0	1978.0	1.0	11.0	4.44723457805631E10	7.0	2.0	7.58984151218266	0.0	1.94591014905531	24.5181333898094
"TUR"	"Turkey"	2012.0	2.32	0.0	8.0	8.86127045801469E11	7.0	2.0	0.841567185678219	1.0	1.94591014905531	27.5101261698242
"URY"	"Uruguay"	2012.0	1613.0	0.0	3.0	4.72453730437575E10	10.0	1.0	7.38585107812521	1.0	2.30258509299405	24.5786205610914
"UZB"	"Uzbekistan"	2012.0	2317.0	0.0	1.0	5.19384142596308E10	8.0	1.0	7.74802852443238	1.0	2.07944154167984	24.6733245124807
"ZWE"	"Zimbabwe"	2012.0	2599.0	0.0	9.0	1.18505704421109E10	9.0	2.0	7.86288203464149	1.0	2.19722457733622	23.1956418419437
"DZA"	"Algeria"	2014.0	2315.0	1.0	10.0	2.13917623492927E11	6.0	2.0	7.74716496652033	0.0	1.79175946922805	26.0888568409121
"ARG"	"Argentina"	2014.0	1904.0	0.0	9.0	5.26836253090669E11	10.0	1.0	7.55171221535131	1.0	2.30258509299405	26.9901556220078
"ARM"	"Armenia"	2014.0	2266.0	0.0	9.0	1.20659141026172E10	9.0	2.0	7.72577144158795	1.0	2.19722457733622	23.2136502979787
"AZE"	"Azerbaijan"	2014.0	2423.0	0.0	3.0	7.33982469797766E10	9.0	1.0	7.79276172081653	1.0	2.19722457733622	25.0191658891724
"BHR"	"Bahrain"	2014.0	2263.0	1.0	11.0	2.80747650396561E10	6.0	4.0	7.72444664563354	0.0	1.79175946922805	24.0581369685121
"BLR"	"Belarus"	2014.0	2.23	0.0	8.0	7.19874046452938E10	9.0	1.0	0.802001585472027	1.0	2.19722457733622	24.9997570051774
"BRA"	"Brazil"	2014.0	2082.0	0.0	5.0	2.45417956875429E12	9.0	2.0	7.64108424917491	1.0	2.19722457733622	28.5288136334417
"BGR"	"Bulgaria"	2014.0	1671.0	0.0	9.0	5.57630984342345E10	10.0	1.0	7.42117752859539	1.0	2.30258509299405	24.7443781691833
"CHL"	"Chile"	2014.0	1.65	0.0	9.0	2.66667278093031E11	9.0	1.0	0.500775287912489	1.0	2.19722457733622	26.3092675687925
"CHN"	"China"	2014.0	2234.0	0.0	1.0	1.02649031041749E13	10.0	1.0	7.71154897962915	1.0	2.30258509299405	29.9597517269175
"COL"	"Colombia"	2014.0	2.75	0.0	8.0	3.80916805832576E11	9.0	2.0	1.01160091167848	1.0	2.19722457733622	26.6658468308349
"CZE"	"Czech Republic"	2014.0	1466.0	0.0	7.0	1.97813770389766E11	10.0	3.0	7.2902928824466	1.0	2.30258509299405	26.0105918714558
"ECU"	"Ecuador"	2014.0	2082.0	0.0	9.0	9.74461913109115E10	9.0	2.0	7.64108424917491	1.0	2.19722457733622	25.3025661786155
"EST"	"Estonia"	2014.0	1714.0	0.0	6.0	2.47793602144887E10	10.0	3.0	7.44658509915773	1.0	2.30258509299405	23.9332768941898
"GEO"	"Georgia"	2014.0	2279.0	0.0	9.0	1.67302447715886E10	8.0	2.0	7.73149202924568	1.0	2.07944154167984	23.5404839825368
"GHA"	"Ghana"	2014.0	1806.0	0.0	4.0	4.28512389035544E10	8.0	2.0	7.49886973397693	1.0	2.07944154167984	24.4810003941406
"HTI"	"Haiti"	2014.0	2191.0	0.0	9.0	8.71054412931705E9	9.0	1.0	7.69211333959547	1.0	2.19722457733622	22.8878000976525
"HUN"	"Hungary"	2014.0	1515.0	0.0	7.0	1.32755149580624E11	9.0	1.0	7.32317071794347	1.0	2.19722457733622	25.6117722878839
"IND"	"India"	2014.0	2536.0	0.0	8.0	2.02099903609957E12	9.0	2.0	7.83834331555712	1.0	2.19722457733622	28.3346130774076
"IRQ"	"Iraq"	2014.0	3.35	1.0	10.0	2.35233971626215E11	5.0	2.0	1.20896034583698	0.0	1.6094379124341	26.1838464797271
